sample_id,morphology_v3,k5,k6,k7,k8,k9
05006dc1881a8b,涨幅微弱型,1,3,2,7,4
0507b5e160b25c,后期加速上升型,4,5,5,4,8
051aab523cbdd7,涨幅微弱型,5,2,7,2,1
051fcce55ac97a,降压主导型,1,3,2,7,4
054236c04bc4be,后期加速上升型,3,5,5,4,9
057202057c8ddb,稳定缓升型,2,6,1,8,3
0572694920f4ce,后期加速上升型,3,5,5,4,8
05aeb8ae0e764c,稳定缓升型,3,4,4,3,2
05e2b21cad8160,快速稳定型,2,1,6,1,6
05e78b67e4848c,快速稳定型,2,6,6,1,6
05fd7961f7c4fe,后期加速上升型,3,4,4,5,7
061cfca37b783f,涨幅微弱型,1,3,2,7,4
064c13493054ab,渐进上升型,3,4,4,3,9
065a40297665dc,涨幅微弱型,5,2,7,2,1
0669e673cf13db,稳定缓升型,3,4,4,3,9
066f181922cd85,后期加速上升型,3,4,4,3,9
06833045d88d3d,稳定缓升型,2,6,6,1,6
0688457a3e0089,渐进上升型,3,4,4,3,2
068d8d6f2714e8,渐进上升型,4,1,6,1,6
069926f741f9b7,涨幅微弱型,5,2,7,2,1
06ade3c14fa2ce,涨幅微弱型,5,2,7,2,1
06b3d59751a202,渐进上升型,4,1,3,6,5
06bba88a544e3b,后期加速上升型,3,5,5,4,9
06be3c6d42a0d9,涨幅微弱型,5,2,7,2,1
06c792599db96a,涨幅微弱型,1,3,2,7,4
06ca430ed4e89a,稳定缓升型,2,6,6,1,6
06f65056b6fd5d,降压主导型,1,3,2,7,4
06f823469632fe,后期加速上升型,3,4,4,5,7
06fd55de27df94,后期加速上升型,3,4,4,5,7
0708ef0b48b036,稳定缓升型,4,1,3,4,8
0717b2bb00d821,冲高回落型,1,3,2,7,4
072d811e02541e,后期加速上升型,3,5,5,4,8
074a07cdc56b44,涨幅微弱型,5,2,7,2,1
0763435229cc0a,涨幅微弱型,5,2,7,2,1
07657351df4c29,复杂波动或待判型,2,6,1,8,3
0767003162c953,后期加速上升型,3,4,4,3,9
079770d1cc3140,涨幅微弱型,1,3,2,7,4
07a0f38943099f,涨幅微弱型,5,2,7,2,1
07aa6a121e64be,降压主导型,1,3,2,7,4
07d6911c2931e5,降压主导型,1,3,2,7,4
07e98b6d20c202,降压主导型,1,3,2,7,4
0819019fb989a8,快速稳定型,5,2,7,2,2
0836f729b357a3,稳定缓升型,2,6,1,8,3
085774fe56ef73,稳定缓升型,2,6,6,4,9
087ce7583b2d2c,后期加速上升型,5,2,7,5,7
087fa1334a0873,涨幅微弱型,1,3,2,7,4
08885e078c1caf,后期加速上升型,3,5,5,4,8
08ae7ab4add9f6,后期加速上升型,3,4,4,3,9
08af838d590059,冲高回落型,1,3,2,7,4
08afd51fc7b9ff,涨幅微弱型,5,2,7,2,1
08b45d6b1f9500,涨幅微弱型,5,2,7,2,1
08be048e11b7cb,快速稳定型,3,4,4,3,9
08bec6f9ea77e1,涨幅微弱型,5,2,7,2,1
08c86fbff98a47,涨幅微弱型,1,3,2,7,4
09054c7af07930,涨幅微弱型,5,2,7,2,1
091a39a357c1d8,渐进上升型,3,4,4,3,9
093a227ade4bd2,涨幅微弱型,5,2,7,2,1
094610aca16163,快速稳定型,2,1,6,1,6
0958764af7c844,冲高回落型,5,2,7,2,2
0958fed43b5619,渐进上升型,4,1,3,6,5
097f934284ca28,稳定缓升型,4,1,3,6,5
098bec8b4ae3fb,后期加速上升型,3,4,4,5,7
099a42112cf12a,涨幅微弱型,5,2,7,2,1
09acc704e5206b,稳定缓升型,3,4,4,3,9
09df8252cfb6bd,稳定缓升型,4,1,6,1,6
09eee7ad39b7e4,涨幅微弱型,1,3,2,7,4
0a3bae28c4c109,降压主导型,1,3,2,7,4
0a4e4d0688759e,涨幅微弱型,1,3,2,7,4
0a4fd103ed5459,先降后升型,2,6,1,8,3
0a5478f38a4226,涨幅微弱型,5,2,7,2,1
0a6aba48c0f912,稳定缓升型,3,4,4,3,9
0a8bf09103b9f4,后期加速上升型,4,5,5,4,9
0a98f1c5e862b2,渐进上升型,4,1,3,6,5
0aaea127889e21,降压主导型,1,3,2,7,4
0ac0e260f6d891,后期加速上升型,3,4,4,5,7
0ae85051464019,快速稳定型,2,6,1,8,3
0af8da0cb75b52,稳定缓升型,4,1,6,1,6
0b17486870e804,后期加速上升型,3,5,5,4,9
0b1749180329eb,快速稳定型,3,4,4,3,9
0b6999736fdddc,涨幅微弱型,5,2,7,2,1
0b79bc5aa1372b,后期加速上升型,3,4,4,3,9
0b8f7535ee698a,渐进上升型,3,4,4,5,7
0b91631ef51957,涨幅微弱型,5,2,7,2,1
0bbe998bee4468,涨幅微弱型,5,2,7,2,1
0bc1013e4313f9,快速稳定型,3,4,6,3,9
0bc1818c937315,先降后升型,5,2,7,2,1
0bd288d88c11d8,后期加速上升型,3,4,4,5,7
0bde477d232cf2,稳定缓升型,2,6,6,3,9
0be17ae5a2eddc,渐进上升型,4,1,4,3,9
0be7aff9060a91,涨幅微弱型,5,2,7,2,1
0be8206baaa0bc,后期加速上升型,3,4,4,5,7
0bf71f1af904c3,降压主导型,1,3,2,7,4
0c2d87e829cc1c,涨幅微弱型,1,3,2,7,4
0c619a9f98994e,涨幅微弱型,5,2,7,2,1
0c78396992a5ae,涨幅微弱型,1,3,2,7,4
0c85d55c07266b,涨幅微弱型,5,2,7,2,1
0ca0af1f98c047,涨幅微弱型,5,2,7,2,2
0ca2c9f08caa38,涨幅微弱型,5,2,7,2,1
0ca6185b2de705,稳定缓升型,3,4,6,3,9
0ca693ae16a964,稳定缓升型,3,4,4,3,9
0cad5d18aa7c61,复杂波动或待判型,1,3,2,5,7
0cced351d386a1,涨幅微弱型,1,3,2,7,4
0ce3b0e15a20d9,后期加速上升型,3,4,4,5,7
0cf36b678fa9e4,涨幅微弱型,5,2,7,2,1
0cf7ceba6616af,涨幅微弱型,5,2,7,2,1
0d01f3b58ae830,稳定缓升型,4,1,3,6,5
0d1a1c6c39a528,渐进上升型,4,1,3,6,5
0d229be8f2a003,后期加速上升型,3,4,4,3,9
0d31fedd78cd74,先降后升型,5,2,7,2,1
0d4afd3d2a17e4,后期加速上升型,3,4,4,5,7
0d6ab575618f02,渐进上升型,4,1,6,3,9
0d6cad52a9a8a5,降压主导型,1,3,2,7,4
0de954bd2cd22e,后期加速上升型,5,2,7,5,7
0dffb8db6e242c,涨幅微弱型,5,2,7,2,1
0e081d52b41022,后期加速上升型,3,4,4,5,7
0e0b631fef7bbd,涨幅微弱型,5,2,7,2,1
0e10f80c78aa41,后期加速上升型,3,5,5,4,8
0e2cea5a7e8a6d,涨幅微弱型,5,2,7,2,2
0e334b36f7823f,后期加速上升型,5,4,4,5,7
0e3385796d6207,稳定缓升型,3,4,6,3,9
0e3dff5f65f915,涨幅微弱型,5,2,7,2,1
0e406deca8dc28,涨幅微弱型,5,2,7,2,1
0e44b33442b634,快速稳定型,3,4,6,3,9
0e4aec85f49143,涨幅微弱型,5,2,7,2,1
0e5883b8711ebd,稳定缓升型,2,6,1,8,3
0e63ebe3a9a85c,降压主导型,1,3,2,7,4
0e98baf9e71c73,涨幅微弱型,1,3,2,7,4
0e9b00941ec0ee,后期加速上升型,3,4,4,3,9
0eb26d7d843230,渐进上升型,3,4,4,3,9
0ebccc0e3cb0a6,快速稳定型,2,6,6,1,6
0ede52b71e7c4e,先降后升型,3,4,4,5,7
0eeb6809e83083,后期加速上升型,4,5,5,4,8
0f27af5d5f834a,渐进上升型,4,1,6,1,6
0f47322a2e15a7,渐进上升型,3,4,4,3,9
0f6593a561d83b,后期加速上升型,4,1,3,6,5
0f6b2e10ceaf63,涨幅微弱型,1,3,2,7,4
0f8814172d0526,降压主导型,1,3,2,7,4
0f8fc821311a0b,后期加速上升型,4,5,5,4,8
0f9487f58a9261,后期加速上升型,3,4,4,5,7
0f94d566885dfc,后期加速上升型,4,5,5,4,8
0fa4f27951c0e0,后期加速上升型,3,5,5,3,9
0fbb65964f2a1e,稳定缓升型,3,4,4,3,9
0fbb6e1935c88b,稳定缓升型,2,6,6,1,3
0fc6f4dc71213f,先降后升型,3,4,4,5,2
0fdd2fd4249ff5,涨幅微弱型,5,3,2,2,2
0ff0299b4f6805,渐进上升型,4,1,6,1,6
0ffdc4462d73bd,稳定缓升型,2,6,6,1,6
100803fb6c165a,后期加速上升型,3,5,5,4,9
100cda03877bcf,后期加速上升型,4,5,5,4,8
1013a1b4aee135,降压主导型,1,3,2,7,4
1043b7772cff60,降压主导型,1,3,2,7,4
1071a5c32c9faa,涨幅微弱型,1,3,2,7,4
107c48b342f325,降压主导型,1,3,2,7,4
10835e1703186b,涨幅微弱型,5,2,7,2,1
10904f3a5c4bb7,先降后升型,2,6,1,8,3
1094a1ff165817,渐进上升型,4,1,3,6,5
10b12874ceb028,涨幅微弱型,5,2,7,2,1
10b40102d3ce52,后期加速上升型,3,4,4,5,7
10d6eca4c6c4ac,涨幅微弱型,1,3,2,7,4
10dfaa09e1b6c1,降压主导型,1,3,2,7,4
10f4e933a16dd0,后期加速上升型,2,6,1,8,3
1171093ec6504a,渐进上升型,3,4,4,3,9
117b77b89faa24,涨幅微弱型,5,2,7,2,1
1193d87a7828c9,渐进上升型,4,1,3,6,5
1198ab14822ae8,稳定缓升型,4,1,6,1,6
11b224736d732d,渐进上升型,4,1,6,1,6
11b97de4ba3021,后期加速上升型,3,4,5,3,9
11cf9f4e35892e,渐进上升型,3,4,4,3,9
11f1a04b2c4fce,渐进上升型,3,4,4,3,9
120033330ed3bc,后期加速上升型,3,5,5,4,9
12098fe847e93c,后期加速上升型,3,4,4,5,7
120d084ef9324c,降压主导型,1,3,2,7,4
12410a86fc8a8e,稳定缓升型,2,6,6,1,6
125a7df9f266d5,后期加速上升型,3,4,4,3,9
1267a8a5c6a147,渐进上升型,4,1,3,6,5
126dc10ea9d7d2,稳定缓升型,2,6,6,1,6
1286c37bf6264f,涨幅微弱型,5,2,7,2,1
12894557121a81,先降后升型,3,4,4,5,7
12aab38fc9194f,稳定缓升型,3,4,4,3,9
12bf9740568fae,后期加速上升型,3,5,5,4,9
12d57a9fd8783c,渐进上升型,4,1,3,3,9
1317d055e6d06d,后期加速上升型,3,4,4,5,7
134d657954c0e4,复杂波动或待判型,5,2,7,2,2
136c40ad75fedb,降压主导型,1,3,2,7,4
136ce363048ff1,后期加速上升型,3,4,4,3,9
137ae76c8fe45d,降压主导型,1,3,2,7,4
13c1c7c7ef6722,后期加速上升型,3,4,4,3,9
13f0c02be06d96,降压主导型,1,3,2,7,4
1406a5eea67233,后期加速上升型,4,5,5,4,8
14259545ac7a79,稳定缓升型,3,4,4,3,9
14279e6fa0fac0,涨幅微弱型,5,2,7,2,1
142b02e1142ed5,渐进上升型,4,1,3,6,5
143d86a6a03164,快速稳定型,2,6,6,1,6
144ab4222f48aa,冲高回落型,1,3,2,7,2
146b8534aa8679,稳定缓升型,3,4,4,5,2
14a8c739577be2,稳定缓升型,4,1,6,1,6
14aa51a67beca0,渐进上升型,3,4,4,5,7
14b9c641c5f831,渐进上升型,3,4,4,3,9
14c9e4df869bad,稳定缓升型,4,1,6,1,6
14ca6377e9f5b0,涨幅微弱型,5,2,7,2,2
14f4c0b6846b24,涨幅微弱型,5,2,7,2,1
151e97d417cd84,涨幅微弱型,1,3,7,7,1
152d735839b2dc,复杂波动或待判型,2,6,1,8,3
153819a79118c3,降压主导型,1,3,2,7,4
15407eca941854,涨幅微弱型,5,2,7,2,1
154334fa243ca2,后期加速上升型,4,5,5,4,8
157b64251f9dea,快速稳定型,2,1,6,1,6
15831bbda50f3c,快速稳定型,2,6,6,1,6
15905fa7a6c2da,快速稳定型,2,6,6,1,6
15a59a526a7ac0,后期加速上升型,3,4,4,3,9
15da825d224bb5,后期加速上升型,3,5,5,4,8
15f1df44fbc22e,涨幅微弱型,5,2,7,2,1
1606404b5fac98,降压主导型,1,3,2,7,4
16389632bc9b35,涨幅微弱型,1,3,2,7,4
165a4144d7fcb2,后期加速上升型,5,4,4,5,7
165c1226c41f30,复杂波动或待判型,3,4,4,3,2
16757ac5822fdf,复杂波动或待判型,5,2,7,2,2
1682a5d007ed8b,稳定缓升型,3,4,4,3,9
16892e71b47925,涨幅微弱型,5,2,7,2,1
16b4f6a0ad46b2,降压主导型,1,3,2,7,4
16bcbb310b8658,降压主导型,1,3,2,7,4
16bffd7477b9e9,稳定缓升型,3,4,6,3,9
16f47b261c62da,降压主导型,1,3,2,7,4
1714723c57ff75,后期加速上升型,3,5,5,3,9
1721f6d000043e,后期加速上升型,3,4,4,5,7
172dc10d865e90,稳定缓升型,3,4,4,3,2
1730a897fb55c9,涨幅微弱型,5,2,7,2,1
174628678247f5,稳定缓升型,4,1,6,1,9
1749cd99c58818,降压主导型,1,3,2,7,4
1751fe0e122e8b,渐进上升型,4,1,3,6,5
17631b3287ff10,降压主导型,1,3,2,7,4
1775c867d60695,后期加速上升型,3,5,5,4,9
1787f9cdc586e0,稳定缓升型,4,1,6,1,6
178cacc798829f,渐进上升型,3,4,4,3,9
1792e939c0aaea,降压主导型,1,3,2,7,4
179308ddba2cbb,涨幅微弱型,5,2,7,2,1
17945766d1a6bb,涨幅微弱型,5,2,7,2,1
17eb8a046a4c51,涨幅微弱型,5,2,7,5,7
17fc360dfeca75,冲高回落型,2,6,6,1,6
182eae42fdf5c8,后期加速上升型,5,2,4,5,7
18319290e5f17f,渐进上升型,3,4,4,3,9
18359f7d07aeb0,降压主导型,1,3,2,7,4
18364bdf5628de,渐进上升型,4,1,6,1,6
183b74f07bf90a,涨幅微弱型,5,2,7,2,1
18558ef59b1931,涨幅微弱型,1,3,2,7,4
188e7ab80b7528,降压主导型,1,3,2,7,4
188fde950d2f93,降压主导型,1,3,2,7,4
189d07b0c08ed5,涨幅微弱型,5,2,7,2,1
18b47bff520ff1,涨幅微弱型,5,2,7,2,1
18b7f53df32b8a,涨幅微弱型,1,3,2,7,4
18c702348bb849,后期加速上升型,4,5,5,4,8
18c7722439c780,涨幅微弱型,5,2,7,2,1
18e5d9366c876e,后期加速上升型,3,5,5,4,9
190e33dd5bfc6c,渐进上升型,4,1,3,6,5
1931fcc505b0dc,稳定缓升型,2,6,6,1,6
194ef006903355,稳定缓升型,2,6,6,1,6
19bba028634ef6,降压主导型,1,3,2,7,4
19c03bf99fcc3d,涨幅微弱型,5,2,7,2,1
1a11e82a584766,后期加速上升型,3,4,4,5,7
1a39da74b54e8a,后期加速上升型,4,5,5,4,8
1a3b88b1ecc005,涨幅微弱型,5,2,7,2,1
1a43b90a1f92fe,涨幅微弱型,1,3,2,7,4
1a51eb8a07bc47,降压主导型,1,3,2,7,4
1a5a11fad7b0e4,渐进上升型,3,4,4,3,9
1a6331ae8091c3,先降后升型,3,4,4,5,7
1aad6280508974,快速稳定型,2,1,6,1,6
1ab27165d07cc8,涨幅微弱型,5,2,7,2,1
1ae87466ff0a0d,后期加速上升型,3,4,4,5,7
1ae99f113e557d,渐进上升型,3,4,4,3,9
1aeb6e0e67b57f,涨幅微弱型,5,2,7,2,1
1af2b383c4f9c7,稳定缓升型,4,5,6,1,6
1b3a34f93d005a,降压主导型,1,3,2,7,4
1b81992eb7746c,涨幅微弱型,5,2,7,2,2
1ba402f39ba430,涨幅微弱型,5,2,7,2,1
1ba54785f0ca1f,后期加速上升型,3,4,4,3,9
1bb7cf29a71aa1,后期加速上升型,4,5,5,4,8
1bd057eadd92c0,渐进上升型,4,1,6,3,9
1bd91e6c74f711,涨幅微弱型,5,2,7,2,1
1be12598bb7629,降压主导型,1,3,2,7,4
1be45526c95afc,渐进上升型,4,1,3,6,5
1be5bd6269610e,渐进上升型,4,1,3,6,5
1befba130b453d,涨幅微弱型,1,2,7,2,1
1c44b93ad7357b,稳定缓升型,4,1,6,1,6
1c47da4b17a86f,涨幅微弱型,5,2,7,2,1
1c548b91f110cc,后期加速上升型,3,5,5,4,8
1c57bcd507e59b,渐进上升型,4,1,3,6,5
1c5b1fe6760fcc,涨幅微弱型,1,3,2,7,4
1c5f600becbbd7,涨幅微弱型,1,3,2,7,4
1c98211fc1cbee,稳定缓升型,3,4,4,3,9
1c9c96fe2d4e2b,涨幅微弱型,1,3,2,7,4
1c9fd22e575f77,后期加速上升型,3,4,4,5,7
1cac6a750523ab,渐进上升型,4,1,3,6,5
1ccbb2d12ec867,渐进上升型,3,4,4,3,9
1ce31a471121d0,涨幅微弱型,5,2,7,2,1
1cf59da8410a0f,后期加速上升型,3,4,4,3,9
1cf686b6b3eea6,后期加速上升型,3,4,4,3,7
1d133461208816,涨幅微弱型,5,2,7,2,2
1d165cd04788f5,复杂波动或待判型,1,3,2,5,2
1d28e572f35254,快速稳定型,2,6,1,8,3
1d37cfc0a47149,稳定缓升型,4,1,3,6,5
1d4a9e216f6bb2,涨幅微弱型,5,2,7,5,7
1d719f866e94f7,后期加速上升型,3,4,4,5,7
1d870b9174f6d1,快速稳定型,2,6,6,1,6
1d9c9a459aef4f,稳定缓升型,2,6,6,1,6
1dad4ec1d9135b,后期加速上升型,3,5,5,4,8
1db09770aa7875,渐进上升型,4,1,3,6,5
1db46fb34a7423,稳定缓升型,2,6,6,1,9
1dbc8f84c17823,后期加速上升型,4,5,5,4,8
1dbf8c9c5c8b87,涨幅微弱型,1,3,2,7,1
1dd6d5d9c3bfc2,后期加速上升型,4,5,5,4,8
1dec29381cc5d8,涨幅微弱型,5,2,7,2,1
1deffb31abc528,涨幅微弱型,5,2,7,2,1
1df5215ff08f57,复杂波动或待判型,5,2,7,2,2
1e0ad9f114cc03,渐进上升型,4,1,3,6,5
1e34b41f5af11f,先降后升型,3,4,4,5,7
1e385e1ebe17c2,稳定缓升型,2,6,1,8,3
1e415408befc28,渐进上升型,5,2,7,2,2
1e45d1c2be6c9f,涨幅微弱型,5,2,7,2,1
1e47465392dcc1,涨幅微弱型,5,2,7,2,1
1e48dfac1f44e2,渐进上升型,4,1,3,6,5
1e5a210a536ddd,冲高回落型,4,1,3,6,5
1e5eddb10c0d5a,降压主导型,1,3,2,7,4
1e6e9604061afc,稳定缓升型,4,1,3,6,5
1ea34ba7c7c0c5,涨幅微弱型,5,2,7,2,1
1ec9592d05f4c1,先降后升型,1,3,2,7,4
1ecfdfd0dfbeba,渐进上升型,4,1,6,1,6
1ee082dc9c7758,快速稳定型,3,4,4,3,2
1ef068af2fa2e7,涨幅微弱型,5,2,7,2,1
1f02855d81e467,涨幅微弱型,5,2,7,2,1
1f0a7433928e6d,涨幅微弱型,5,2,7,2,1
1f14205af68419,渐进上升型,4,1,6,1,6
1f2484e836de98,涨幅微弱型,5,2,7,2,1
1f2ac0fae1d6ae,涨幅微弱型,5,2,7,2,1
1f33b73fb3ea5d,降压主导型,1,3,2,7,4
1f484dbf023051,快速稳定型,2,6,6,1,6
1f71fa59b658aa,后期加速上升型,3,4,4,5,2
1f74d658291853,涨幅微弱型,1,3,2,7,4
1f87de47545d2e,后期加速上升型,3,6,6,3,9
1f94215b5637bc,涨幅微弱型,5,2,7,2,1
1f9a443cd21c51,稳定缓升型,4,5,5,4,8
1fa4eefa59e53f,涨幅微弱型,5,2,7,2,1
1fac41a9600eb6,降压主导型,1,3,2,7,4
1fd33fa9e2369d,稳定缓升型,4,5,5,3,9
1fec6b0a15b123,涨幅微弱型,5,2,7,2,1
1fecf79e38a3a2,后期加速上升型,3,4,4,5,7
20257e42b0616f,涨幅微弱型,1,3,2,7,4
202d73574c003d,先降后升型,5,4,4,5,7
202fba08f41e76,涨幅微弱型,5,2,7,2,1
20609fed3a6ace,涨幅微弱型,1,3,2,7,4
207a859818941e,稳定缓升型,4,1,3,1,6
20850a15f8405c,涨幅微弱型,5,2,7,2,1
20905000d82ce6,后期加速上升型,2,6,1,8,3
20a789e6b3c0fe,涨幅微弱型,3,4,4,5,2
20be1008e760e5,涨幅微弱型,5,2,7,2,1
20ccef9c6ddcc5,涨幅微弱型,5,2,7,2,1
20cfb15ab8a1ed,后期加速上升型,3,4,4,3,9
20d3d12764587a,降压主导型,1,3,2,7,4
20d505775e8305,涨幅微弱型,5,2,7,2,1
20d58decd6c4d2,后期加速上升型,3,4,4,5,7
20f5e7a38c639c,涨幅微弱型,5,2,7,2,1
211abb69735092,稳定缓升型,3,4,4,3,9
21405b69eadb48,渐进上升型,4,1,6,1,6
216f0c41dcf37e,先降后升型,3,4,4,5,7
2183a6851cdfc2,稳定缓升型,3,4,4,3,9
2185aa9cba6809,稳定缓升型,3,4,4,5,2
218bdee23f9168,涨幅微弱型,5,2,7,2,1
21c0300e75b12e,降压主导型,1,3,2,7,4
21d3ba83824ce3,快速稳定型,5,2,7,2,2
21eb8d92542476,渐进上升型,4,1,3,6,5
21ec247be7bba7,快速稳定型,3,4,4,3,2
220646143f6fa0,后期加速上升型,4,5,5,4,8
2207d5adec9d07,先降后升型,5,2,7,5,7
220e4e28576497,复杂波动或待判型,1,3,2,7,4
2219d8c458a4e1,先降后升型,3,4,4,5,7
222bf45624799a,降压主导型,1,3,2,7,4
223f9fd3533bfc,涨幅微弱型,1,3,2,7,4
225556d24308f0,涨幅微弱型,5,2,7,2,1
22aee0c627ea5d,快速稳定型,5,2,7,2,2
22b3eea083edf2,稳定缓升型,3,4,4,3,9
22df8cf54cb593,降压主导型,1,3,2,7,4
22ecb9dc61ea12,涨幅微弱型,5,2,7,2,1
230caf7114a8dd,渐进上升型,3,4,6,3,9
23123faf4e1a2d,冲高回落型,2,6,6,1,6
2328e2fc04730a,涨幅微弱型,5,2,7,2,1
2333b5489c51db,涨幅微弱型,5,2,7,2,1
234840fa5c3ca1,涨幅微弱型,5,2,7,2,1
2354d0f6ff5bcf,稳定缓升型,4,1,6,1,6
2369b717cdd080,先降后升型,5,2,7,5,7
2370eab4e3d5de,涨幅微弱型,5,2,7,2,1
2376fb4d13b8fe,涨幅微弱型,3,4,4,5,7
238a9206e73b45,后期加速上升型,3,4,4,3,9
239d2bd76f42e9,涨幅微弱型,1,3,2,7,4
23a688fa580fef,涨幅微弱型,1,3,2,7,4
23b04c5403f1fb,先降后升型,3,4,4,5,7
23eaf1391616c3,涨幅微弱型,5,2,7,2,1
23eef5a3ee9f1c,稳定缓升型,2,1,6,1,6
24004eec1e65d0,稳定缓升型,3,4,4,3,9
2407cb1efc3e43,先降后升型,5,4,4,5,7
2407e8fd75af6f,涨幅微弱型,5,2,7,2,1
242b4ffcb2f427,渐进上升型,3,4,4,3,9
24302fa3efe120,稳定缓升型,4,1,3,6,5
24493d8c276105,涨幅微弱型,5,2,7,2,1
245d466755bb9a,涨幅微弱型,5,2,7,2,1
245debde91ae2f,先降后升型,3,4,4,5,7
247436773d4c2c,涨幅微弱型,1,3,2,7,4
247600d07781b1,后期加速上升型,3,4,4,3,9
2482417569d490,涨幅微弱型,5,2,7,5,7
2489f9f1a6b5fd,稳定缓升型,4,1,6,1,6
24d705e7996847,涨幅微弱型,5,2,7,2,1
24e49411a0a716,后期加速上升型,2,6,1,8,3
24e8011c6091dc,稳定缓升型,2,1,6,1,6
255602a358a0b0,涨幅微弱型,5,2,7,2,1
2561f0a7682fc2,后期加速上升型,3,4,4,5,7
256293b6ca58f6,快速稳定型,2,1,6,1,6
257fc7b8bd4864,降压主导型,1,3,2,7,4
259a83e727eddc,后期加速上升型,4,5,5,4,8
25b72c23af7339,涨幅微弱型,5,2,7,2,1
25bffbb84ab338,渐进上升型,4,1,3,6,5
25ce7c37cbb045,冲高回落型,2,6,6,1,6
25e487af23c76a,稳定缓升型,2,6,1,8,3
25f2cbd5f31ba1,后期加速上升型,3,4,4,5,7
25f4d81d516aa7,稳定缓升型,4,5,5,4,8
25f9516d0d4292,后期加速上升型,3,5,5,4,8
25fc17f3883821,后期加速上升型,4,5,5,4,8
2628694c7b2684,降压主导型,1,3,2,7,4
262c7e526d0b8c,渐进上升型,4,1,3,6,5
264d49a8eb2e89,后期加速上升型,4,5,5,4,8
26537374bbf06c,稳定缓升型,3,4,4,5,7
2670a9121a0b6e,降压主导型,1,3,2,7,4
26758006eaa5de,涨幅微弱型,5,2,7,2,1
267652fdea2ce2,降压主导型,1,3,2,7,4
2683ed3679f335,涨幅微弱型,5,2,7,2,1
269640705952a2,渐进上升型,4,1,3,6,5
2698830447f168,后期加速上升型,3,4,4,5,7
26af337a190074,渐进上升型,3,4,4,3,9
26ba57eb523b2d,渐进上升型,4,1,3,6,5
26da0b380b6b43,快速稳定型,2,6,1,8,3
