sample_id,platform_id,source_well,stage_id,monitor_platform,monitor_well,cluster,morphology_type,Balanced_feature_KMeans__2,Balanced_feature_KMeans__3,Balanced_feature_KMeans__4,Balanced_feature_KMeans__5,Balanced_feature_KMeans__6,Balanced_feature_Ward__2,Balanced_feature_Ward__3,Balanced_feature_Ward__4,Balanced_feature_Ward__5,Balanced_feature_Ward__6,Shape_KMeans__2,Shape_KMeans__3,Shape_KMeans__4,Shape_KMeans__5,Shape_KMeans__6,Hybrid_DTW_medoid__2,Hybrid_DTW_medoid__3,Hybrid_DTW_medoid__4,Hybrid_DTW_medoid__5,Hybrid_DTW_medoid__6
01ba7af482e352,阳101H2,,,阳101H2,6,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
01c16ff17711b1,阳101H26,,,阳101H26,2,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
01cc963f8701ed,阳101H2,5,14,阳101H2,2,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
01ccc50dfae259,阳101H2,324,19,阳101H2,8,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
021f1226aa000c,阳101H2,122,3,阳101H2,8,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
022010542f8270,阳101H35,2,15,阳101H35,1,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,5
0265487417a70a,阳101H26,,,阳101H26,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
0269171c2f3beb,阳101H2,4,20,阳101H2,5,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,2,1,3,3,1,2,1,3,2
026cf2a319460c,泸201H5,4,9,泸201H5,2,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
029ddcaf104bb6,泸208H2,10,12,泸208H2,8,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
02aa35ea21031e,泸203H64,3,4,泸203H64,2,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
02df4dc547b70c,泸203H76,3,13,泸203H76,4,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
02df54ce531f12,泸203H76,1,16,泸203H76,2,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
02e16cd7cec036,阳101H32,4,15,阳101H32,2,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
02eeb67cda39df,泸203H64,4,9,泸203H64,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
0301b0503dc63e,泸208H2,8,14,泸208H2,9,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
0313771e18e1cb,阳101H31,3,15,阳101H31,1,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
0319a720094d4b,阳101H2,4,15,阳101H2,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
03278152bdb87d,阳101H35,2,11,阳101H35,1,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
035c48c246a359,阳101H26,,,阳101H26,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0383d7bf737156,阳101H51,1,12,阳101H51,3,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
039040253f10c4,泸208H1,2,11,泸208H1,5,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,2,5
03adeb22595bf6,泸203H64,3,7,泸203H64,5,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,3,3,5,2,2,3,4,2,6
03b6bd18333fe0,泸208H2,6,22,泸208H2,7,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,5
03bb47c3df36e6,泸203H64,5,11,泸203H64,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,2,5
03bd0cc9ae8743,泸203H76,2,16,泸203H76,3,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
03be013afe578a,泸203H64,1,7,泸203H64,3,4,降压主导型,2,3,3,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,2
03be811339f454,泸201H5,3,2,泸201H5,4,1,低幅波动型,2,1,1,5,2,2,3,3,3,3,1,3,3,5,4,2,1,3,4,1
03c4993e3a3802,阳101H31,1,13,阳101H31,3,2,早期上升趋缓型,1,2,2,3,5,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
03c4d09f38c8c5,泸206H8,,,泸206H8,2,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,3,3,2,1,1,1,3,5,3
03c8c4e0ad63d4,阳101H26,,,阳101H26,3,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
03d064cd9d3399,泸203H66,1,19,泸203H66,2,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
03e9b9a069b224,阳101H26,,,阳101H26,4,1,低幅波动型,1,1,1,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
03ea2387352d97,阳101H32,6,7,阳101H32,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
03f0c4cfe3c762,泸206H8,4,1,泸206H8,8,1,低幅波动型,2,3,1,2,3,2,2,2,2,6,2,3,3,2,4,1,1,3,4,1
04091f4aecef70,阳101H32,4,13,阳101H32,7,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
04147e98bed2d8,阳101H35,,,阳101H35,1,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,3,3,5,2,2,3,4,2,6
0417ed00e351b7,阳101H31,3,2,阳101H31,2,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
044acecce0871b,泸203H64,4,13,泸203H64,5,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0478191a5b4c87,阳101H2,104,17,阳101H2,8,1,低幅波动型,2,1,1,2,2,2,2,2,2,2,2,3,3,2,4,1,1,3,4,1
04a0c7fc508f4d,泸208H1,5,23,泸208H1,4,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,2,5
04a7bc8c037dc8,阳101H26,,,阳101H26,2,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
04e7bba88fb5f5,阳101H26,,,阳101H26,3,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
05006dc1881a8b,阳101H26,,,阳101H26,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
0507b5e160b25c,泸203H10,2,13,泸203H10,1,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,3,3,5,2,2,3,4,2,6
051aab523cbdd7,阳101H35,1,18,阳101H35,3,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
051fcce55ac97a,阳101H32,4,13,阳101H32,5,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
054236c04bc4be,泸208H2,8,7,泸208H2,9,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
057202057c8ddb,泸208H1,4,11,泸208H1,5,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
0572694920f4ce,阳101H32,4,4,阳101H32,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
05aeb8ae0e764c,泸203H66,1,17,泸203H66,4,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
05e2b21cad8160,泸208H2,1,11,泸208H2,2,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
05e78b67e4848c,阳101H2,2,21,阳101H2,4,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
05fd7961f7c4fe,阳101H26,,,阳101H26,4,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
061cfca37b783f,阳101H32,6,15,阳101H32,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
064c13493054ab,阳101H31,7,30,阳101H31,4,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
065a40297665dc,泸203H64,1,17,泸203H64,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0669e673cf13db,泸208H2,9,17,泸208H2,8,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
066f181922cd85,阳101H51,4,4,阳101H51,3,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
06833045d88d3d,阳101H31,,,阳101H31,1,2,早期上升趋缓型,1,2,2,3,5,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
0688457a3e0089,阳101H2,42,21,阳101H32,8,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
068d8d6f2714e8,阳101H32,2,15,阳101H32,6,2,早期上升趋缓型,1,2,2,3,5,1,1,4,4,4,1,1,2,1,6,2,3,2,1,4
069926f741f9b7,泸206H8,5,6,泸206H8,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
06ade3c14fa2ce,泸201H5,2,17,泸201H5,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
06b3d59751a202,泸203H8,4,1,泸203H8,3,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
06bba88a544e3b,泸201H5,4,9,泸201H5,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
06be3c6d42a0d9,泸201H5,1,6,泸201H5,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
06c792599db96a,泸203H76,1,5,泸203H76,4,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
06ca430ed4e89a,泸203H66,2,17,泸203H66,4,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
06f65056b6fd5d,泸201H5,3,6,泸201H5,4,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
06f823469632fe,阳101H34,6,10,阳101H34,5,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
06fd55de27df94,泸203H64,5,2,泸203H58,5,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0708ef0b48b036,泸203H66,1,20,泸203H66,2,2,早期上升趋缓型,1,2,2,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
0717b2bb00d821,阳101H26,,,阳101H26,4,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,3,3,2,1,1,2,1,5,2
072d811e02541e,泸208H2,4,22,泸208H2,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,1,5
074a07cdc56b44,阳101H2,,,阳101H2,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
0763435229cc0a,阳101H26,,,阳101H26,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
07657351df4c29,泸208H1,2,4,泸208H1,1,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0767003162c953,阳101H26,,,阳101H26,3,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
079770d1cc3140,阳101H35,2,21,阳101H35,1,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
07a0f38943099f,阳101H32,2,8,阳101H32,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
07aa6a121e64be,阳101H35,3,5,阳101H35,1,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
07d6911c2931e5,泸201H5,1,15,泸201H5,2,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,2,1,3,3,1,2,1,3,2
07e98b6d20c202,泸203H64,3,1,泸203H64,2,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
0819019fb989a8,阳101H2,2,16,阳101H2,5,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0836f729b357a3,泸208H1,4,16,泸208H1,5,2,早期上升趋缓型,1,2,2,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,4
085774fe56ef73,泸208H2,5,10,泸208H2,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,1,5
087ce7583b2d2c,阳101H35,2,4,阳101H35,3,1,低幅波动型,2,1,1,2,2,1,1,1,1,1,2,3,3,2,4,1,1,3,4,1
087fa1334a0873,泸203H76,3,21,泸203H76,4,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
08885e078c1caf,泸208H2,4,19,泸208H2,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,4,2,6
08ae7ab4add9f6,泸203H76,2,9,泸203H76,4,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
08af838d590059,泸203H64,,,泸203H64,3,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
08afd51fc7b9ff,阳101H31,2,4,阳101H25,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,5,3
08b45d6b1f9500,泸203H9,3,3,泸203H9,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
08be048e11b7cb,阳101H35,3,10,阳101H35,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
08bec6f9ea77e1,阳101H2,2,14,阳101H2,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
08c86fbff98a47,泸206H8,4,1,泸206H8,2,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,3,3,2,1,1,2,1,5,3
09054c7af07930,阳101H35,3,8,阳101H35,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,1,3,3,5,4,1,1,3,4,1
091a39a357c1d8,阳101H32,4,5,阳101H32,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
093a227ade4bd2,阳101H26,,,阳101H26,1,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
094610aca16163,阳101H34,3,7,阳101H34,2,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
0958764af7c844,阳101H35,1,6,阳101H35,3,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0958fed43b5619,阳101H34,4,5,阳101H34,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,2,1,5
097f934284ca28,泸203H66,2,18,泸203H66,sensor:No09,2,早期上升趋缓型,1,2,2,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
098bec8b4ae3fb,泸203H64,3,9,泸203H64,1,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
099a42112cf12a,阳101H26,,,阳101H26,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
09acc704e5206b,阳101H35,3,22,阳101H35,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,4,1,5
09df8252cfb6bd,阳101H2,2,12,阳101H2,6,2,早期上升趋缓型,1,2,2,1,6,1,1,4,4,4,1,1,2,1,6,2,3,2,1,5
09eee7ad39b7e4,阳101H26,,,阳101H26,1,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
0a3bae28c4c109,泸203H76,2,14,泸203H76,3,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,2,1,3,3,1,2,1,3,2
0a4e4d0688759e,阳101H32,2,22,阳101H32,1,1,低幅波动型,2,3,1,2,4,2,3,3,3,3,2,2,1,3,3,1,2,1,5,2
0a4fd103ed5459,泸208H1,5,1,泸208H1,6,3,迟缓响应持续上升型,1,2,4,1,6,2,2,2,2,6,1,1,2,1,6,2,3,2,1,5
0a5478f38a4226,泸203H9,4,6,泸203H9,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
0a6aba48c0f912,泸206H8,,,泸206H8,3,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,5
0a8bf09103b9f4,泸201H5,4,7,泸201H5,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
0a98f1c5e862b2,泸203H64,3,3,泸203H64,4,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
0aaea127889e21,泸203H64,3,6,泸203H64,1,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
0ac0e260f6d891,阳101H34,5,9,阳101H34,6,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0ae85051464019,阳101H51,2,14,阳101H51,3,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
0af8da0cb75b52,阳101H2,4,20,阳101H2,6,2,早期上升趋缓型,1,2,2,3,5,1,1,4,5,5,1,1,2,1,6,2,3,2,1,4
0b17486870e804,阳101H31,7,23,阳101H31,6,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0b1749180329eb,阳101H31,4,21,阳101H31,5,2,早期上升趋缓型,1,2,2,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0b6999736fdddc,阳101H32,4,17,阳101H32,1,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,5,3
0b79bc5aa1372b,泸208H2,10,12,泸208H2,9,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0b8f7535ee698a,泸203H66,1,8,泸203H66,3,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0b91631ef51957,阳101H32,6,5,阳101H32,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0bbe998bee4468,泸203H9,3,6,泸203H9,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0bc1013e4313f9,阳101H2,2,14,阳101H2,1,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0bc1818c937315,阳101H35,1,12,阳101H35,3,1,低幅波动型,2,1,1,2,2,2,2,2,2,2,2,3,3,2,4,1,1,3,4,1
0bd288d88c11d8,阳101H35,1,14,阳101H35,2,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,3,3,5,4,2,1,4,2,6
0bde477d232cf2,阳101H31,1,14,阳101H31,3,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
0be17ae5a2eddc,泸203H76,4,11,泸203H76,2,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
0be7aff9060a91,阳101H35,1,17,阳101H35,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,1,1,1,3,5,3
0be8206baaa0bc,阳101H31,2,4,阳101H25,2,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0bf71f1af904c3,阳101H35,2,3,阳101H35,3,4,降压主导型,2,3,3,4,3,2,2,2,2,6,2,2,1,3,3,1,2,1,3,2
0c2d87e829cc1c,阳101H31,3,15,阳101H31,5,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
0c619a9f98994e,阳101H2,,,阳101H2,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
0c78396992a5ae,泸203H64,4,10,泸203H64,2,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
0c85d55c07266b,阳101H2,,,阳101H2,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0ca0af1f98c047,阳101H2,2,3,阳101H2,6,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,1,1,2,5,2,2,3,4,2,1
0ca2c9f08caa38,阳101H2,,,阳101H2,3,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
0ca6185b2de705,阳101H34,4,11,阳101H34,3,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,1,6,2,3,2,1,5
0ca693ae16a964,阳101H34,1,14,阳101H34,2,2,早期上升趋缓型,1,2,2,3,5,1,1,1,1,1,1,1,2,1,6,2,3,2,1,4
0cad5d18aa7c61,阳101H2,6,21,阳101H2,2,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,3,1,2,1,3,2
0cced351d386a1,泸206H8,4,4,泸206H8,5,1,低幅波动型,2,1,1,2,4,2,3,3,3,3,2,2,1,3,1,1,2,1,5,3
0ce3b0e15a20d9,泸201H5,1,10,泸201H5,2,3,迟缓响应持续上升型,1,1,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0cf36b678fa9e4,阳101H2,2,12,阳101H2,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,3
0cf7ceba6616af,泸206H8,5,5,泸206H8,4,1,低幅波动型,2,1,1,2,2,2,3,3,3,3,2,3,3,2,4,1,1,3,4,1
0d01f3b58ae830,泸203H64,3,4,泸203H64,5,3,迟缓响应持续上升型,1,2,4,1,6,1,1,4,4,4,1,1,2,5,2,2,3,2,1,5
0d1a1c6c39a528,阳101H2,,,阳101H2,1,3,迟缓响应持续上升型,1,2,4,1,6,1,1,1,1,1,1,1,2,5,2,2,3,4,2,5
0d229be8f2a003,泸203H11,7,9,泸203H11,5,3,迟缓响应持续上升型,1,2,4,5,1,1,1,1,1,1,1,1,2,5,2,2,3,4,2,6
0d31fedd78cd74,阳101H2,6,8,阳101H2,2,4,降压主导型,2,3,3,4,4,2,2,2,2,2,2,2,1,3,1,1,2,1,5,3
