file,sheet,column,platform,source,stage,monitor,monitor_platform,mapping,header,unit,channel_id,status,reason,alternate_record_flag,sample_id,final_sample_id,final_cluster
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.07(3).xlsx,2,13,阳101H2,4.0,15.0,4,阳101H2,header,4井,MPa_context_assumed,5e64152408f3b2,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.08.xlsx,1,13,阳101H2,4.0,16.0,4,阳101H2,header,4井,MPa_context_assumed,320849fd09c5eb,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.09   叠合图.xlsx,1,17,阳101H2,5.0,15.0,5,阳101H2,header,5井,MPa_context_assumed,6629ccc017fdca,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.09   叠合图.xlsx,2,21,阳101H2,6.0,21.0,6,阳101H2,header,6井,MPa_context_assumed,e8c606b7f05bf2,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.09(1).xlsx,1,17,阳101H2,5.0,15.0,5,阳101H2,header,5井,MPa_context_assumed,789f024dc8817a,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.09(1).xlsx,2,21,阳101H2,6.0,21.0,6,阳101H2,header,6井,MPa_context_assumed,dec2d581ecb430,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.10   叠合图.xlsx,1,13,阳101H2,4.0,17.0,4,阳101H2,header,4井,MPa_context_assumed,a265020f5395f2,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.11  叠合图.xlsx,1,13,阳101H2,4.0,18.0,4,阳101H2,header,4井,MPa_context_assumed,fd9377447ca2d6,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.11(1).xlsx,1,13,阳101H2,4.0,18.0,4,阳101H2,header,4井,MPa_context_assumed,6d76660bd42b96,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.11(1).xlsx,2,5,阳101H2,2.0,2.0,2,阳101H2,header,2井,MPa_context_assumed,316ed71e18a44b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.14.xlsx,1,13,阳101H2,4.0,21.0,4,阳101H2,header,4井,MPa_context_assumed,cc23342080117b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.17.xlsx,1,5,阳101H2,2.0,6.0,2,阳101H2,header,2井,MPa_context_assumed,0b53e52fbf149b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.18.xlsx,1,17,阳101H2,5.0,17.0,5,阳101H2,header,5井,MPa_context_assumed,298bf4c8d69b73,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.20.xlsx,1,5,阳101H2,2.0,8.0,2,阳101H2,header,2井,MPa_context_assumed,3547269889056b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.22.xlsx,1,5,阳101H2,2.0,9.0,2,阳101H2,header,2井,MPa_context_assumed,7846a10c145bbe,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.23.xlsx,1,5,阳101H2,2.0,10.0,2,阳101H2,header,2井,MPa_context_assumed,253f126c31d4dd,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.25.xlsx,1,5,阳101H2,2.0,11.0,2,阳101H2,header,2井,MPa_context_assumed,c96cbe7309a8a3,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.26.xlsx,1,17,阳101H2,5.0,20.0,5,阳101H2,header,5井,MPa_context_assumed,325395ada784e8,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.26.xlsx,1 (2),5,阳101H2,2.0,12.0,2,阳101H2,header,2井,MPa_context_assumed,00f56d8acce8e8,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.27   叠合图.xlsx,1,5,阳101H2,2.0,13.0,2,阳101H2,header,2井,MPa_context_assumed,10ad2ae1c3faf8,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.28  叠合图.xlsx,1,5,阳101H2,2.0,14.0,2,阳101H2,header,2井,MPa_context_assumed,67c567e02d07a4,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2平台压力监测12.30.xlsx,1,5,阳101H2,2.0,16.0,2,阳101H2,header,2井,MPa_context_assumed,8370a60ef6e1c7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H11\泸203H11 邻井压力监测\泸203H11-3-12段压裂施工-1井套压压力监测.xls,Sheet1,legacy_0,泸203H11,3.0,12.0,3,泸203H11,V1_validated_parser_fallback,3井井口压力,MPa_context_assumed,51992768977c20,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H153\泸203H153 邻井压力监测\泸203H153_5-5段压裂期间5井套压数据.xls,导出数据,legacy_0,泸203H153,5.0,5.0,5,泸203H153,V1_validated_parser_fallback,5井套压(MPa),MPa_context_assumed,337dc98b7d3427,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64-5-3段压裂施工-1、4、6、7井秒点压力监测.xls,导出数据,5,泸203H64,5.0,3.0,5,泸203H64,header,5井套压(MPa),MPa_explicit,8c7a96dc2b9281,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64-5-4段压裂施工-1、4、6、7井秒点压力监测.xls,导出数据,3,泸203H64,5.0,4.0,5,泸203H64,header,5井套压(MPa),MPa_explicit,632d72d4a845da,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.3,2,泸203H64,1.0,2.0,1,泸203H64,header,1井监测值,MPa_context_assumed,6e6ca0caa81dc5,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.4,2,泸203H64,1.0,4.0,1,泸203H64,header,1井监测值,MPa_context_assumed,55dc9f94579456,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.6,2,泸203H64,1.0,4.0,1,泸203H64,header,1井监测值,MPa_context_assumed,8b42711c3f28b6,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,9.29 (4),2,泸203H64,1.0,5.0,1,泸203H64,header,1井监测值,MPa_context_assumed,1d4dd1589b404e,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.7,2,泸203H64,1.0,6.0,1,泸203H64,header,1井监测值,MPa_context_assumed,4f57f404acdf52,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.8,2,泸203H64,1.0,7.0,1,泸203H64,header,1井监测值,MPa_context_assumed,c3bf6b5cd22ac7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.9,6,泸203H64,2.0,1.0,2,泸203H64,header,2井监测值,MPa_context_assumed,2a79a146c79622,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.10,6,泸203H64,2.0,2.0,2,泸203H64,header,2井监测值,MPa_context_assumed,1cd380df05a61b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.11,6,泸203H64,2.0,4.0,2,泸203H64,header,2井监测值,MPa_context_assumed,96384957b28ee6,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.12,6,泸203H64,2.0,5.0,2,泸203H64,header,2井监测值,MPa_context_assumed,40c28b26e921b9,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.13,6,泸203H64,2.0,6.0,2,泸203H64,header,2井监测值,MPa_context_assumed,b668726b274b96,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.14,2,泸203H64,2.0,8.0,1,泸203H64,header,1井监测值,MPa_context_assumed,05126942dfe2f8,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.14,6,泸203H64,2.0,8.0,2,泸203H64,header,2井监测值,MPa_context_assumed,a83148d4ef5d1d,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.14,10,泸203H64,2.0,8.0,3,泸203H64,header,3井监测值,MPa_context_assumed,cc90e381b0abf0,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.14,14,泸203H64,2.0,8.0,4,泸203H64,header,4井监测值,MPa_context_assumed,d72cae5ef55757,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.15,6,泸203H64,2.0,8.0,2,泸203H64,header,2井监测值,MPa_context_assumed,8f2f0180ac586d,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,10.29,6,泸203H64,2.0,8.0,2,泸203H64,header,2井监测值,MPa_context_assumed,90627dbc7091a1,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.6,2,泸203H64,1.0,9.0,1,泸203H64,header,1井监测值,MPa_context_assumed,55431b6c515575,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.6,6,泸203H64,1.0,9.0,2,泸203H64,header,2井监测值,MPa_context_assumed,78244906f41758,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.6,10,泸203H64,1.0,9.0,3,泸203H64,header,3井监测值,MPa_context_assumed,dee8a1b5d8b1e5,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.6,14,泸203H64,1.0,9.0,4,泸203H64,header,4井监测值,MPa_context_assumed,82fe7780813fcf,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.6 (2),2,泸203H64,1.0,10.0,1,泸203H64,header,1井监测值,MPa_context_assumed,3f71054b65422a,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\泸203H64平台压裂期间l泸203H75平台压力、液、气监测表.xlsx,11.7,2,泸203H64,1.0,11.0,1,泸203H64,header,1井监测值,MPa_context_assumed,7ccd40c14a18a0,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.13.2.xlsx,Sheet1,2,泸203H64,1.0,17.0,1,泸203H64,header,1井监测值,MPa_context_assumed,d1ec9ce5783db6,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.13.2.xlsx,Sheet1,6,泸203H64,1.0,17.0,2,泸203H64,header,2井监测值,MPa_context_assumed,1296e3cd6f9863,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.13.2.xlsx,Sheet1,10,泸203H64,1.0,17.0,3,泸203H64,header,3井监测值,MPa_context_assumed,7b8051efe7e37f,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.13.2.xlsx,Sheet1,14,泸203H64,1.0,17.0,4,泸203H64,header,4井监测值,MPa_context_assumed,e22f1b36341274,过少观测,少于6点,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.14.2.xlsx,Sheet1,2,泸203H64,1.0,19.0,1,泸203H64,header,1井监测值,MPa_context_assumed,4f70abc620acce,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_11.14.xlsx,Sheet1,2,泸203H64,1.0,18.0,1,泸203H64,header,1井监测值,MPa_context_assumed,e5a23592461515,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H64\泸203H64 邻井压力监测\邻井压力上涨数据_1井施工期间_75平台_2022.11.13.xlsx,Sheet1,2,泸203H64,1.0,16.0,1,泸203H64,header,1井监测值,MPa_context_assumed,c4499093c76f51,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1、3、4井分点压力监测.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,0c823ff5d4a959,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1、3、4井秒点压力监测.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,2b8494217f3aa7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1井秒点压力监测-2.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井压力,MPa_context_assumed,af76feba8dc8a0,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1井秒点压力监测-3.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井压力,MPa_context_assumed,200822fbbced3b,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1井秒点压力监测-4.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井压力,MPa_context_assumed,53a3976ad206a7,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-13段压裂施工-1井秒点压力监测-5.xls,Sheet1,2,泸203H66,1.0,13.0,1,泸203H66,header,1井压力,MPa_context_assumed,3f2de07ac7f5d5,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-14段压裂施工-1、2、4井分点压力监测.xls,Sheet1,2,泸203H66,1.0,14.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,ca1e6bf2fadd39,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-14段压裂施工-1、2、4井秒点压力监测.xls,Sheet1,2,泸203H66,1.0,14.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,0e8f337ae3babf,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-17段压裂施工-1、2、3、4井分点压力监测.xls,Sheet1,2,泸203H66,1.0,17.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,06fcb18cafa202,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-17段压裂施工-1、2、3、4井秒点压力监测.xls,Sheet1,2,泸203H66,1.0,17.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,fa36081bb73a6f,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-18段压裂施工-1、2、3、4井分点压力监测.xls,Sheet1,2,泸203H66,1.0,18.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,3baaeca38f2fa2,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-1井-18段压裂施工-1、2、3、4井秒点压力监测.xls,Sheet1,2,泸203H66,1.0,18.0,1,泸203H66,header,1井井口压力,MPa_context_assumed,836b5dd2961c21,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-2井-17段压裂施工-1、2、3、4井分点压力监测.xlsx,Sheet1,5,泸203H66,2.0,17.0,2,泸203H66,header,2井,MPa_context_assumed,11e794f6e5fa68,施工井自身压力,源井与监测井相同,,,,
E:\压裂窜扰项目\02 规范化\泸203H66\泸203H66 邻井压力监测\泸203H66平台-2井-17段压裂施工-1、2、3、4井秒点压力监测.xlsx,Sheet1,3,泸203H66,2.0,17.0,2,泸203H66,header,2井,MPa_context_assumed,4d95d7af9a528b,施工井自身压力,源井与监测井相同,,,,
