sample_id,computed_pump_relative_delay_min,date_and_baseline_supported_delay,caution
02df54ce531f12,8.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
02e16cd7cec036,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
02eeb67cda39df,43.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0301b0503dc63e,27.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0313771e18e1cb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0319a720094d4b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03278152bdb87d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
035c48c246a359,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0383d7bf737156,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
039040253f10c4,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03adeb22595bf6,90.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03b6bd18333fe0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03bb47c3df36e6,29.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03bd0cc9ae8743,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03be013afe578a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03be811339f454,154.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03c4993e3a3802,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03c4d09f38c8c5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03c8c4e0ad63d4,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03d064cd9d3399,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03e9b9a069b224,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03ea2387352d97,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
03f0c4cfe3c762,2.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
04091f4aecef70,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
04147e98bed2d8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0417ed00e351b7,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
044acecce0871b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0478191a5b4c87,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
04a0c7fc508f4d,30.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
04a7bc8c037dc8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
04e7bba88fb5f5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
05006dc1881a8b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0507b5e160b25c,60.06666666666667,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
051aab523cbdd7,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
051fcce55ac97a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
054236c04bc4be,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
057202057c8ddb,1.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0572694920f4ce,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
05aeb8ae0e764c,15.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
05e2b21cad8160,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
05e78b67e4848c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
05fd7961f7c4fe,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
061cfca37b783f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
064c13493054ab,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
065a40297665dc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0669e673cf13db,14.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
066f181922cd85,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06833045d88d3d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0688457a3e0089,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
068d8d6f2714e8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
069926f741f9b7,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06ade3c14fa2ce,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06b3d59751a202,27.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06bba88a544e3b,36.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06be3c6d42a0d9,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06c792599db96a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06ca430ed4e89a,7.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06f65056b6fd5d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06f823469632fe,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
06fd55de27df94,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0708ef0b48b036,3.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0717b2bb00d821,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
072d811e02541e,47.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
074a07cdc56b44,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0763435229cc0a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
07657351df4c29,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0767003162c953,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
079770d1cc3140,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
07a0f38943099f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
07aa6a121e64be,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
07d6911c2931e5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
07e98b6d20c202,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0819019fb989a8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0836f729b357a3,2.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
085774fe56ef73,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
087ce7583b2d2c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
087fa1334a0873,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08885e078c1caf,71.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08ae7ab4add9f6,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08af838d590059,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08afd51fc7b9ff,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08b45d6b1f9500,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08be048e11b7cb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08bec6f9ea77e1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
08c86fbff98a47,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
09054c7af07930,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
091a39a357c1d8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
093a227ade4bd2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
094610aca16163,4.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0958764af7c844,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0958fed43b5619,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
097f934284ca28,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
098bec8b4ae3fb,59.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
099a42112cf12a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
09acc704e5206b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
09df8252cfb6bd,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
09eee7ad39b7e4,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a3bae28c4c109,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a4e4d0688759e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a4fd103ed5459,43.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a5478f38a4226,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a6aba48c0f912,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a8bf09103b9f4,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0a98f1c5e862b2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0aaea127889e21,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ac0e260f6d891,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ae85051464019,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0af8da0cb75b52,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b17486870e804,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b1749180329eb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b6999736fdddc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b79bc5aa1372b,48.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b8f7535ee698a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0b91631ef51957,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bbe998bee4468,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bc1013e4313f9,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bc1818c937315,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bd288d88c11d8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bde477d232cf2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0be17ae5a2eddc,45.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0be7aff9060a91,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0be8206baaa0bc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0bf71f1af904c3,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0c2d87e829cc1c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0c619a9f98994e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0c78396992a5ae,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0c85d55c07266b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ca0af1f98c047,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ca2c9f08caa38,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ca6185b2de705,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ca693ae16a964,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0cad5d18aa7c61,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0cced351d386a1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ce3b0e15a20d9,83.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0cf36b678fa9e4,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0cf7ceba6616af,142.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d01f3b58ae830,12.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d1a1c6c39a528,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d229be8f2a003,64.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d31fedd78cd74,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d4afd3d2a17e4,168.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d6ab575618f02,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0d6cad52a9a8a5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0de954bd2cd22e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0dffb8db6e242c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e081d52b41022,39.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e0b631fef7bbd,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e10f80c78aa41,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e2cea5a7e8a6d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e334b36f7823f,93.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e3385796d6207,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e3dff5f65f915,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e406deca8dc28,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e44b33442b634,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e4aec85f49143,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e5883b8711ebd,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e63ebe3a9a85c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e98baf9e71c73,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0e9b00941ec0ee,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0eb26d7d843230,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ebccc0e3cb0a6,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ede52b71e7c4e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0eeb6809e83083,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f27af5d5f834a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f47322a2e15a7,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f6593a561d83b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f6b2e10ceaf63,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f8814172d0526,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f8fc821311a0b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f9487f58a9261,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0f94d566885dfc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0fa4f27951c0e0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0fbb65964f2a1e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0fbb6e1935c88b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0fc6f4dc71213f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0fdd2fd4249ff5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ff0299b4f6805,15.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
0ffdc4462d73bd,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
100803fb6c165a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
100cda03877bcf,61.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1013a1b4aee135,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1043b7772cff60,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1071a5c32c9faa,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
107c48b342f325,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10835e1703186b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10904f3a5c4bb7,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1094a1ff165817,23.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10b12874ceb028,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10b40102d3ce52,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10d6eca4c6c4ac,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10dfaa09e1b6c1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
10f4e933a16dd0,4.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1171093ec6504a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
117b77b89faa24,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1193d87a7828c9,28.933333333333334,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1198ab14822ae8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
11b224736d732d,11.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
11b97de4ba3021,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
11cf9f4e35892e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
11f1a04b2c4fce,95.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
120033330ed3bc,58.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12098fe847e93c,64.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
120d084ef9324c,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12410a86fc8a8e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
125a7df9f266d5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1267a8a5c6a147,6.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
126dc10ea9d7d2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1286c37bf6264f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12894557121a81,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12aab38fc9194f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12bf9740568fae,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
12d57a9fd8783c,43.46666666666667,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1317d055e6d06d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
134d657954c0e4,3.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
136c40ad75fedb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
136ce363048ff1,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
137ae76c8fe45d,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
13c1c7c7ef6722,51.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
13f0c02be06d96,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1406a5eea67233,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14259545ac7a79,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14279e6fa0fac0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
142b02e1142ed5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
143d86a6a03164,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
144ab4222f48aa,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
146b8534aa8679,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14a8c739577be2,20.0,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14aa51a67beca0,89.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14b9c641c5f831,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14c9e4df869bad,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14ca6377e9f5b0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
14f4c0b6846b24,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
151e97d417cd84,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
152d735839b2dc,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
153819a79118c3,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15407eca941854,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
154334fa243ca2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
157b64251f9dea,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15831bbda50f3c,10.0,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15905fa7a6c2da,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15a59a526a7ac0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15da825d224bb5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
15f1df44fbc22e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1606404b5fac98,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16389632bc9b35,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
165a4144d7fcb2,108.5,True,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
165c1226c41f30,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16757ac5822fdf,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1682a5d007ed8b,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16892e71b47925,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16b4f6a0ad46b2,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16bcbb310b8658,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16bffd7477b9e9,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
16f47b261c62da,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1714723c57ff75,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1721f6d000043e,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
172dc10d865e90,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1730a897fb55c9,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
174628678247f5,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1749cd99c58818,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1751fe0e122e8b,5.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
17631b3287ff10,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1775c867d60695,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1787f9cdc586e0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
178cacc798829f,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
1792e939c0aaea,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
179308ddba2cbb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
17945766d1a6bb,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
17eb8a046a4c51,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
17fc360dfeca75,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
182eae42fdf5c8,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
18319290e5f17f,44.5,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
18359f7d07aeb0,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
18364bdf5628de,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
183b74f07bf90a,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
18558ef59b1931,,False,Onset censoring and source timestamp validity still require review; clock-only values are not verified response delays.
